Sofia Kogan: (0:54) : ‫סחר פול, נתניהו אופטימי. ‫סליחה קוד. ‫נתניהו, פתיבי. ‬‬‬
Sofia Kogan: (1:06) : ‫סופיה, מה ‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:06) : קורה? ‫תודה רבה. ‫סופיה, מה קורה? ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (4:30) : ‫תודה ‬
עומר טייכר | מדריך וטכנאי מחשבים: (4:37) : רבה. 
עומר טייכר | מדריך וטכנאי מחשבים: (4:45) : ‫תודה ‬
עומר טייכר | מדריך וטכנאי מחשבים: (4:52) : רבה. 
עומר טייכר | מדריך וטכנאי מחשבים: (5:00) : ‫תודה. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (6:09) : ‫הוא היה ‬
עומר טייכר | מדריך וטכנאי מחשבים: (6:40) : מה 
עומר טייכר | מדריך וטכנאי מחשבים: (7:11) : שלומך. 
עומר טייכר | מדריך וטכנאי מחשבים: (7:42) : ‫היא ‬
עומר טייכר | מדריך וטכנאי מחשבים: (8:13) : המשלומך. 
עומר טייכר | מדריך וטכנאי מחשבים: (8:45) : ‫הפקת ‬
עומר טייכר | מדריך וטכנאי מחשבים: (9:11) : כתוביות ‫ההפקת כתוביות ‬
עומר טייכר | מדריך וטכנאי מחשבים: (9:26) : ‫הפקת ‬
עומר טייכר | מדריך וטכנאי מחשבים: (9:39) : כתוביות 
עומר טייכר | מדריך וטכנאי מחשבים: (9:53) : ‫של ‬
עומר טייכר | מדריך וטכנאי מחשבים: (10:07) : המועצות 
עומר טייכר | מדריך וטכנאי מחשבים: (10:20) : הללו 
עומר טייכר | מדריך וטכנאי מחשבים: (10:34) : ‫בסוף ‬
עומר טייכר | מדריך וטכנאי מחשבים: (10:47) : החלקת 
עומר טייכר | מדריך וטכנאי מחשבים: (11:01) : התקשורת. 
עומר טייכר | מדריך וטכנאי מחשבים: (11:15) : ...הפקת 
עומר טייכר | מדריך וטכנאי מחשבים: (11:22) : כתוביות עשות לי הופקות לכתוביות הישראלית 
עומר טייכר | מדריך וטכנאי מחשבים: (11:29) : הבאה 
עומר טייכר | מדריך וטכנאי מחשבים: (11:34) : ל-israelnews.com 
עומר טייכר | מדריך וטכנאי מחשבים: (16:04) : התיבות התורה והתרגילים. 
חטיבת התורה והתרגילים: (16:11) : אני מיד אשנה את השם שלי, אל תדאג. 
עומר טייכר | מדריך וטכנאי מחשבים: (16:13) : לא, זה מסקרן. 
עומר טייכר | מדריך וטכנאי מחשבים: (16:17) : זה מסקרן. 
עומר טייכר | מדריך וטכנאי מחשבים: (21:41) : וואי וואי עשרה אנשים נכנסו לפני הזמן, זה יפה. ‫יפה. ‬
הדסה: (21:57) : ‫עומר, התגעגעתי להרצאות שלך. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (22:00) : ‫כן, היה לי תקופה לא פשוטה עם כאבי גאוו, אבל נחזור. ‬
הדסה: (22:06) : ברוך הופך חולים. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:08) : תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:12) : אני גם התגעגעתי להרצאות שלי. 
הדסה: (22:18) : אני מאמינה. אני מאמינה. 
הדסה: (22:28) : אתה עושה את זה באהבה. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:31) : אני עושה את זה בשליחות ואהבה חד משמעית. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:47) : כשהשעון יראה שש ודקה אני מתחיל לו. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:00) : או יפה צלצל יפי. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:05) : אוקיי. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:08) : מה התחילים? 
עומר טייכר | מדריך וטכנאי מחשבים: (25:10) : אז ערב טוב חברים. רגע, שנייה שנייה, לפני שאני מתחיל אני רוצה לבדוק פה משהו. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:17) : או יופי. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:20) : סבבה. 
