עומר טייכר | מדריך וטכנאי מחשבים: (21:29) : עוד חמש דקות מתחילים 
Lilach Bogen: (21:32) : מחכים 
עומר טייכר | מדריך וטכנאי מחשבים: (21:34) : טוב 
עומר טייכר | מדריך וטכנאי מחשבים: (21:37) : עשיתי לעצמי טאצ'אפ בזום אני רק מובן זה יש חמש עכשיו 
עומר טייכר | מדריך וטכנאי מחשבים: (23:18) : מה 
Michael Badnani 9299: (23:18) : יאמר מה שלומך? 
עומר טייכר | מדריך וטכנאי מחשבים: (23:20) : בסדר מה שלומך? תודה 
Michael Badnani 9299: (23:22) : רבה 
Michael Badnani 9299: (23:23) : בסדר גמור 
עומר טייכר | מדריך וטכנאי מחשבים: (23:26) : בריאות זה הכי חשוב יותר מהכל לא משנה מה נהיה 
Michael Badnani 9299: (23:30) : בקשר מחר יש לי כמה דברים אליך טוב 
עדינה: (24:21) : שלום אהלן אהלן וסהלן 
עדינה: (24:30) : אה לא רואים את הפנים רגע למה 
עומר טייכר | מדריך וטכנאי מחשבים: (24:34) : כן, בספוטלייט, את רואה בעיקר אותי. 
SHOSH: (24:37) : לא, תלחצי על ויו, גלריה ותראי, אני רואה אותך, דינה. 
עדינה: (24:43) : זה לא בגלל, יש לי לפטופ שיש לו מסך קטן, אבל אני התחכמתי ועשיתי מסך גדול. המצלמה בלפטופ, אבל העיניים פה. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:56) : טוב, אני שם אותך על מיות, אני שם אתכם על מיות, יאללה. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:03) : עכשיו עוד כבר לביוט רגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:06) : יופי. יופי. רק אני לא במיוט. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:12) : יופי. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:19) : עוד דקה מתחילים. דקה אחת. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:33) : תשובות לחידונים זה מעולה שווה הרחבה כן יתיה הרחבה גיאורת תהיה הרחבה אל תדאג זה מתפתח אני כל הזמן מפתח את זה 
עומר טייכר | מדריך וטכנאי מחשבים: (25:47) : אפשר לבקש עוד הרבה אל תדאג טוב אנחנו מתחילים 
עומר טייכר | מדריך וטכנאי מחשבים: (25:51) : ערב טוב חברים אני עמר תייחר מראשון לציון 
עומר טייכר | מדריך וטכנאי מחשבים: (25:56) : וכבר יותר משני עשורים אני עוסק בעולם המחשבים תיקונים הדרכות ובעיקר בהבנה 
עומר טייכר | מדריך וטכנאי מחשבים: (26:05) : מה עובר על אנשים כשהמחשב שלהם פשוט לא מתנהג כמו שצריך את הדרך המקצועית שלי התחלתי ביחידת המחשבים של חיל האוויר מקום שבו למדתי לעבוד בצורה מדויקת, לחשוב בצורה שיטתית ולהבין שלכל תקלה יש סיבה וגם פתרון מאז עברתי אלפי בתים ומשרדים ראיתי כל סוג של מחשב אינטרנט ומדפסת שיש. והכי חשוב, למדתי לדבר על טכנולוגיה בצורה פשוטה, ברורה, בלי מונחים מפוצצים ובלי להסתיר כלום. עם השנים הבנתי דבר חשוב, אנשים לא צריכים עוד טכנאי, הם צריכים להבין, להרגיש שליטה ולדעת מה יש להם בידיים. 
