עומר טייכר | מדריך וטכנאי מחשבים: (24:15) : עוד חצי דקה מתחילים. עוד חצי דקה מתחילים. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:22) : כבר עשים הקלטה. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:50) : לא אפי 
עומר טייכר | מדריך וטכנאי מחשבים: (24:54) : יפה למה השעון הזה לא עוצר? 
עומר טייכר | מדריך וטכנאי מחשבים: (24:58) : נעצור את השעון, רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (25:03) : ‫פעם שאלה שאני משחק עם השעון הזה. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (25:08) : ‫או. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (25:10) : ‫לא, יש לא... הוא עדיין לא עצר. ‫או, עצר, הוא עצר, בסדר. יופי. ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (25:19) : ‫ערב טוב, חברים. ‫אני אומר טייכר מראשון לציון כבר מעל לשני עשורים ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (25:26) : אני חי ונושא מחשבים אבל הערב אני לא הולך לדבר איתכם על עצמי. הערב אני הולך לספר לכם על נועה, רוני, דורית וטלו. אנשים רגילים לגמרי, בדיוק כמוני וכמוכם, שנתקעו ברגעים הכי לא נכונים בגלל לקלות במחשב. לפעמים זו מטפסת שלא מגיבה, לפעמים זה זום שפתאום מתנתק, ולפעמים זה פשוט להרגיש שהמחשב נהיה כבד בלי סיבה. מתוך הסיפורים האלה נלמד ביחד איך לשפר את המחשב בבית, איך לימנע מתקלות מעצבנות, ואיך להבין לבד מה באמת שווה תיקון ומה אפשר לפתור בשתי דקות? אני מזמין אתכם לכתוב שאלות בצ'אט לאורך כל ההרצאה. אני אשתדל לענות במהלך ההרצאה אבל אני אענה על הכל בסוף. כדי שנוכל להישאר זורמים ולא להיתקע באמצע. ההרצאה הזאת לא מלאה במונחים טכניים, היא מלאה בסיפורים מהחיים, ואולי אפילו תמצאו את עצמכם מזדיין יותר ממה שחשבתם. בואו נצלול פנימה. 
עומר טייכר | מדריך וטכנאי מחשבים: (26:37) : שטף מסך. 
עומר טייכר | מדריך וטכנאי מחשבים: (26:49) : רגע. או. יפה. רגע... או... יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:00) : מה זה? למה זה ככה? 
עומר טייכר | מדריך וטכנאי מחשבים: (27:03) : רגע, רגע, רגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:06) : שנייה. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:14) : משהו פה לא בסדר רגע נקדוק למה זה קורה 
עומר טייכר | מדריך וטכנאי מחשבים: (27:30) : או עכשיו זה נראה בסדר, עכשיו זה נראה בסדר, נכון אתם רואים, תכתבו לי בת שאתם רואים שהכל עובד. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:39) : יופי. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:42) : אז ברוכים הבאים להרצאה מאומנו של טכני מחשבים, הפרק השני בסדרה, דברים שלא ידעתם על המחשב שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:53) : נתחיל בסיפור של רוני. רוני, 
עומר טייכר | מדריך וטכנאי מחשבים: (27:57) : אבא, המחשב שלך כבר ישן, הגיע הזמן לקנות מחשב חדש. ככה אמר לו הבן שלו, בקביעה, לא בשאלה. אבל רוני, הוא לא קופץ 
עומר טייכר | מדריך וטכנאי מחשבים: (28:11) : ישר להוצאות. הוא בן 72. מחשבים לא היו חלק מהחיים שלו, אבל הוא כן יודע דבר אחד, לא זורקים דברים שעובדים אז הוא התקשר לטכני, שמע הוא אמר לו, אני צריך לשדרג? אני רק רוצה לדעת, לשדרג או לא? הטכני שואל אותו, כמה זיכרון יש לך? יש לך SSD או דיסק רגיל? מה הדור של המעבד? Windows 10 או 11? ורוני שותק. הוא מרגיש כמו מישהו שמביא את האוטו למוסך אבל אפילו לא יודע אם זה דיזל או בנזין אז היום אני רוצה ללמד את רוני וגם אתכם איך לבדוק לבד מה יש לכם במחשב איזה מעבד, כמה רם, האם יש בו SSD ואיזה מערכת הפעלה אבל לא רק זה אני גם אתן לכם טיפים פרקטיים איך להתחזק את המחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (29:08) : איך לנקות אותו בצורה נכונה מה ההבדל בין דיסק אשיח SSD ל-HDD מה אומר דור של מעבד ולמה זה חשוב וגם מה ההשפעה של הזיכרון על הביצועים. כל מה שצריך לדעת כדי לקבל החלטה נכונה. לא לקנות סתם, לא לשדרג בלי להבין, פשוט לדעת ולהרגיש שאתם שוב שולטים במחשב שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:30) : אז בוא נתחיל בשאלה. אני רוצה שתכתבו בצ'אט. אם הייתי שואל אתכם עכשיו לשדרג או להמשיך לסחוב עוד שנה, מה הייתם בוחרים? ואני אשמח שתכתבו לי גם למה. אם אתם יכולים, למה לסחוב או למה לשדר רגו? 
עומר טייכר | מדריך וטכנאי מחשבים: (29:56) : ככה? יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:59) : אז נתחילו. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:02) : בשביל 
עומר טייכר | מדריך וטכנאי מחשבים: (30:04) : להסביר לכם על המחשב שלכם אני אשתמש בתוכנה שנקראת ספייסי זו תוכנה שבעצם מראה לי את המפרט של המחשב שלי ספייסי מלשון Specs specification 
עומר טייכר | מדריך וטכנאי מחשבים: (30:20) : וזה מראה את המפרט אז נתחיל. הדבר הראשון שאני רוצה לדבר עליו זאת מערכת ההפעלה אני אגדיל קצת שתוכלו לראות בצורה ברורה יותר. הדבר הראשון שאני אדבר עליו היא מערכת ההפעלה. למי שעוד לא שידרג לווינדוס 11 ויש לו מאבד תומך, תכף אנחנו נדבר על זה מה זה מאבד תומך, אני מציע לשדרג לווינדוס 11. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:46) : העדכון מווינדוס 10 לווינדוס 11 הם חינמים לחלוטין וכל 
עומר טייכר | מדריך וטכנאי מחשבים: (30:54) : העדכוני ההפתחה והעדכוני גרסה ל-Windows 10 נגמרים באוקטובר 2015, עוד ‫לחצי שנה, וכן אין למה להמתין. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (31:04) : ‫הדבר הבא שאני רוצה לדבר עליו ‫הוא המאבד שלכם. ‫בפני שאני אדבר על המאבד, ‫אני רוצה להראות לכם תמונה ‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (31:13) : ‫למי שלא יודע איך נראה המאבד. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (31:16) : ‫ככה נראה המאבד על לוח חיים שלכם למי שלא יודע ולמי שלא פתח את המחשב אף פעם ‬
