עומר טייכר | מדריך וטכנאי מחשבים: (7:07) : תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (20:11) : ביי 
עומר טייכר | מדריך וטכנאי מחשבים: (20:34) : שלום. 
Lilach Bogen: (20:40) : אהלן. היי. אני סוגרת מצלמה ומיקרופון. את יכולה 
עומר טייכר | מדריך וטכנאי מחשבים: (20:43) : לעשות מה שבא לך. 
Lilach Bogen: (20:45) : טוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (20:52) : נתחיל ב-6 ו-2 דקות. 
עומר טייכר | מדריך וטכנאי מחשבים: (20:57) : כל המאחרים. 
עומר טייכר | מדריך וטכנאי מחשבים: (21:08) : תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:50) : טוב, אני רואה שלא נכנסים אז אני אתחיל 
עומר טייכר | מדריך וטכנאי מחשבים: (22:54) : ערב טוב חברים, אני עומר תייחר, בן 40, מראשון לציון טכנאי מחשבים, מדריך ובעיקר מישהו שחי את השטח כבר למעלה מ-20 שנה 
עומר טייכר | מדריך וטכנאי מחשבים: (23:08) : אני פוגש כל יום משתמשים, תקלות ושאלות שלא כתובות באף ספר שירתתי ביחידת המחשבים של חיל האוויר, ושם למדתי לא רק לפתור בעיות, אלא גם לחשוב אחרת. 
עומר טייכר | מדריך וטכנאי מחשבים: (23:23) : לפני כעשר שנים הקמתי את קבוצת הפייסבוק, תשאל טכנאי המחשבים, היום זו אחת הקהילות הגדולות בישראל, עם יותר מ-35,000 
עומר טייכר | מדריך וטכנאי מחשבים: (23:34) : חברים ועשרות פוסטים ביום. 
עומר טייכר | מדריך וטכנאי מחשבים: (23:39) : בשנים האחרונות הבנתי משהו חשוב, אני לא רוצה רק לתקן, אני רוצה גם ללמד, לתת לכם כלים פשוטים וברורים שיעזרו לכם לשלוט במחשב במקום שהוא ישלוט בכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (23:54) : הסדרה הזאת מיומנו של טכנאי מחשבים היא המקום שבו אני פותח את כל הקלפים, משתף את הכלים שבהם אני משתמש ביום יום עם לקוחות אמיתיים, בהדגמות חיות ובלי סודות. היום נתחיל מחדש עם שלושה סיפורים קצרים. שמובילים אותנו לארבעה כלים שישדרגו לכם את החיים הדיגיטליים, בקלות, בפשטות ועם חיוך. אפשר לשאול שאלות בצ'אט תוך כדי ההרצאה, ואחרי כל נושא ובסוף ההרצאה אני אענה על כולן עד... 
עומר טייכר | מדריך וטכנאי מחשבים: (24:33) : שהזום יעיף אותנו. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:36) : שתף את המסך שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:44) : אז ברוכים הבאים להרצאה מיומנו של טכנאי מחשבים, הפרק הראשון, הכלים שיעשו לכם חיים קלים. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:51) : נתחיל בנושא הראשון, תוכנת Everything. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:58) : מהי תוכנת Everything? 
עומר טייכר | מדריך וטכנאי מחשבים: (25:01) : היא תוכנה חינמית למציאת קבצים במחשב, היא מציגה תוצאות מיידיות בלי לחכות. היא נוחה, מהירה ועובדת בכל מחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:13) : למה החיפוש של Everything עדיף על החיפוש של Windows? הוא הרבה יותר מהיר, אתם תראו את זה. תוצאות תוך שניות, שניות זה הרבה, 
עומר טייכר | מדריך וטכנאי מחשבים: (25:23) : מיד. אפשרויות לסינון לפי קובץ, תצוגה מקדימה חכמה. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:29) : למי מתאימה תוכנת Everything? לכל משתמש שמתקשה למצוא קבצים. הוא מושלם להורים, סבים וסבתות, הממשק שלו ממש ממש פשוט. הוא מתאים גם לאנשי מקצוע שרוצים תוצאות מהירות. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:47) : אז נכיר את מרים. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:49) : סבתא מרים היא אישה יצירתית שאוהבת לכתוב שירים בהשראה את המשפחה והחיים שלה. היא כותבת את השירים בוורד, אבל לפעמים שומרת אותם בתיקיות שונות במחשב, בלי לשים לב למיקום המדויק. בנוסף, היא נהנית להסתכל בתמונות משפחתיות כדי לקבל השראה. אבל מכיוון שהבת שלה סדרה את התמונות בתיקיות שונות, מרים מתקשה למצוא את התמונות שהיא מחפשת. 
עומר טייכר | מדריך וטכנאי מחשבים: (26:27) : וכשהיא מחפשת משהו ולא מוצאת, אפשר לשמוע את זה מהחדר השני. נו באמת, הקובץ היה פה לפני רגע, אני זוכרת. לפעמים היא אפילו ממלמלת לעצמך עצי בצחוק. אם הייתי שומרת את זה על דף פנייר, כבר הייתי מוצאת את זה מהר יותר. היום מרים פונה אליי, ואני מסביר לה איך להשתמש בתוכנת Everything, כדי למצוא את השירים והתמונות. במהירות, בלי עצבים ובלי צורך להרים את הכל. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:20) : נתחיל בקטן. קודם כל, איך מורידים בכלל את תוכנת Everything? תמידי פעם תרשמו שאתם רואים שהכל עובד, שהכל כמו שצריך, שאני אדע שהכל עובד בסדר. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:32) : כדי להוריד לתוכנת everything, אנחנו נכנסים לתוכנת החרום שלנו, לדפן שלנו. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:40) : אנחנו רושמים בחיפוש everything, אנחנו יכולים לרשום את זה גם בעברית, תסתכלו, everything, תסתכלו, רשמתי את זה בעברית, אבל אם אני אלחץ enter, 
עומר טייכר | מדריך וטכנאי מחשבים: (27:55) : זה לא מצא לי את זה באנגלית, 
עומר טייכר | מדריך וטכנאי מחשבים: (27:59) : רגע, אוקיי, מה קורה בעצם גוגל מתרגם לנו את מה שאנחנו רושמים בעברית לאנגלית, לכן אם אתם רושמים בעברית אתם לא צריכים למחוק ולהיכנס ולרשום את זה מחדש באנגלית, אתם יכולים פשוט ללחוץ Enter וזה ימצא לכם. אז החברה שפיתחה את Everything נקראת Void Tools, אנחנו ניכנס. ושם אנחנו נראה את הכפתור Download Installer 64 ביט, אנחנו נלחץ, 
עומר טייכר | מדריך וטכנאי מחשבים: (28:29) : אנחנו נחכה שזה יוריד את זה למחשב, 
עומר טייכר | מדריך וטכנאי מחשבים: (28:34) : אני עושה אתכם את זה בלייב, אנחנו פותחים, 
עומר טייכר | מדריך וטכנאי מחשבים: (28:38) : עברית, לוחצים Enter, Enter, Enter, Enter ומתקינים, 
עומר טייכר | מדריך וטכנאי מחשבים: (28:46) : יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:50) : מרים! רוצה למצוא תמונות מהטיול הגלילו. אז היא פשוט כותבת את המילה 
עומר טייכר | מדריך וטכנאי מחשבים: (28:59) : גליל בשורת החיפוש. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:04) : היא תמצא סרטונים, תמונות, מסמכים, מצגות, כדי למצוא את התמונות שהיא צילמה. מרים תשתמש בסינון לפי קובץ. אם אנחנו נלך פה לתצוגה, ונבחר במסננים אנחנו נוכל לסנן את התוצאות שלנו לפי קובץ עכשיו רשום הכל אתם רואים רשום הכל אני יכול לבחור בתמונות ולראות רק את התמונות 
עומר טייכר | מדריך וטכנאי מחשבים: (29:34) : עכשיו היא רוצה לראות את התמונות, יש לה שתי אפשרויות, כרגע היא צריכה ללחוץ פעמיים, 
עומר טייכר | מדריך וטכנאי מחשבים: (29:40) : והיא רואה את התמונה שלה לגליל, אבל היא רוצה לראות את התמונות שלה לפני, היא לא תצטרך לפתוח אותם כדי לראות אותם. איך היא תעשה את זה? היא תבחר בתצוגה, לאחר מכן תצוגה מקדימה, ואז היא תוכל לראות את הקבצים שלה גם בלי לפתוח אותם. זה מאוד מאוד נוח לאנשים שיש להם הרבה קבצים ולא רוצים להתחיל לפתוח קובץ קובץ. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:10) : במטרה למצוא את השיר החדש שכתבה, היא תכתוב בשורת החיפוש חדש. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:19) : אבל היא לא תמצא אותו, כי כרגע הסינון נמצא במצב תמונות. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:26) : מרים תעביר אותו למצב מסמכים ותראה את השיר החדש שלה. אם היא תעמוד עליו היא גם תוכל לראות את השיר, שיר יפה, שיר חמוד, והיא רוצה כרגע לפתוח את המיקום של הקובץ במחשב, לדעת איפה הוא נמצא במחשב. אז מה היא עושה, יש לה שתי אפשרויות, קודם כל היא יכולה לראות את זה בתוכנה, בתוכנת ה-Everything, או ללחוץ כפתור ימני על הקובץ, ולבחור פתח מיקום. אני אראה את זה שוב, כפתור ימני. פתח מיקום יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (31:05) : הקובץ כרגע נמצא בתוך תיקיית התיותות של מרים, אבל אפלו אפל, היא גילתה עוד שיר שהיא כתבה, שנקרא 
עומר טייכר | מדריך וטכנאי מחשבים: (31:15) : מחשבות על המשפחה. היא תעמוד על הקובץ, 
עומר טייכר | מדריך וטכנאי מחשבים: (31:20) : והיא רוצה להעביר אותו לתיקייה, שנקראת שירים שסיימתי. עכשיו, מה מרים תעשה? האם היא תעשה העתק? ותדביק את זה לתיקייה, שירים שסיימתי, או שהיא תעשה משהו אחר. אז בשביל שלא ייווצרו לה קבצים כפולים, מרים היא לא תעתיק את הקובץ, היא תגזור את הקובץ, היא תלחץ כפתור ימני ותלחץ על גזור. למה? כי בעצם גזור, בעצם לוקח כמו מספריים, הוא גוזר כמו שמספריים גוזרים את הנייר והנייר לא נמצא יותר, אותו דבר הקובץ. בגזור אנחנו פשוט לוקחים את הקובץ ומעבירים אותו לתקייה השרים שסיימתי. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:06) : אם מרים תעשה העתק אדבק זה בעצם ישכפל את הקובץ יהיה לה קובץ כפול גם בתקייה. אני אראה לכם אם נגיד אני לוקח את התקייה ועושה קופי העתק ואחרי זה אני מעביר את זה לטיוטות. אני בעצם יוצר קובץ כפול. וזה מה שקורה להרבה אנשים, במקום לגזור ולהעביר, הם מעתיקים ומדביקים, ולכן הם יוצרים לעצמם קבצים כפולים. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:36) : לסיכום, 
עומר טייכר | מדריך וטכנאי מחשבים: (32:39) : לא צריך להראות לכם עוד יותר דברים על everything, זה תוכנה פשוטה, קלה, 
עומר טייכר | מדריך וטכנאי מחשבים: (32:45) : שמוצאת בקלות, וזה כל הערך שלה. אין צורך כאילו, 
עומר טייכר | מדריך וטכנאי מחשבים: (32:50) : יש כל מיני אפשרויות נוספות בתוכנה. אבל הן לא משמעותיות בשביל להתחיל להסביר לכם עליהן. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:59) : לסיכום, בעזרת תוכנת Everything, מריאם הצליחה למצוא בקלות ובמהירות את השירים והתמונות שלה. מה שחסך לה זמן ותרגול, ואיפשר לה להתמקד ביצירה. Everything היא פשוטה ונוחה במיוחד עבור אנשים עם ידע מועט במחשבים. 
