עומר טייכר | מדריך וטכנאי מחשבים: (16:33) : אתם יכולים לרשום בצ'אט מה שאתם רוצים, לשאול שאלות, להעיר הערות, 
עומר טייכר | מדריך וטכנאי מחשבים: (16:42) : לעבור בטענות, מה שאתם רוצים אתם יכולים לרשום בצ'אט. 
עומר טייכר | מדריך וטכנאי מחשבים: (16:49) : אני רואה את הצ'אט כל הזמן. 
עומר טייכר | מדריך וטכנאי מחשבים: (18:21) : לישון בשקט עם סינכרון אוטומטי לענן 
עומר טייכר | מדריך וטכנאי מחשבים: (18:26) : אני מעריך את זה שהגעתם, זה לא מובן מאליו הבחירה שלכם להיות פה מראה על אחריות, על אכפתיות ועל רצון להבין איך שומרים על מה שחשוב באמת 
עומר טייכר | מדריך וטכנאי מחשבים: (18:38) : אז לפני שנתחיל תכינו לעצמכם דף ועת או כל דרך שתעזור לכם לרשום דברים חשובים ובסיום יהיה גם זמן לשאלות ותשובות. קצת על האייו. אני אומר מראשון לציון, מתקן מחשבים מגיל 16. בצבא שירתתי בחלת המחשבים של חיל האוויר... לא שומעים אותי? רגע, למה לא שומעים אותי? 
עומר טייכר | מדריך וטכנאי מחשבים: (19:04) : רגע... 
עומר טייכר | מדריך וטכנאי מחשבים: (19:08) : כולם לא שומעים אותי? תרשמו בצ'אט אם אתם שומעים או לא שומעים שאני אדע אם זה 
עומר טייכר | מדריך וטכנאי מחשבים: (19:17) : תראה שמור לי בצ'אט, שומעים, שומעים, 
עומר טייכר | מדריך וטכנאי מחשבים: (19:20) : שומעים מצוין, יפה שומעים אותי, 
עומר טייכר | מדריך וטכנאי מחשבים: (19:23) : יפה, הלאה. 
עומר טייכר | מדריך וטכנאי מחשבים: (19:26) : בצבא שירתתי בחילת המחשבים של חיל האוויר ואני מתמחה בהבטחת מידע. הקמתי את קהילת הפייסבוק תשאל טכנאי מחשבים שגדלה עם השנים ויש בה עשרות אלפי אנשים שמקבלים עזרה מקצועית במחשבים כל יום. 
עומר טייכר | מדריך וטכנאי מחשבים: (19:45) : במקביל, אני עוזר לאנשים בכל הארץ, לשמור על המידע שלהם שחשוב להם בשקט וביטחון ובלי כאב ראש. 
עומר טייכר | מדריך וטכנאי מחשבים: (19:54) : אבל זה לא תמיד היה ככה. הייתי בן 16 אצל אבא שלי בבית, הוא עבד על התזה שלו לתואר שני, חודשים של כתיבה, השקעה, תיקונים, מחשבות, רעיונות, ואז 
