עומר טייכר | מדריך וטכנאי מחשבים: (20:04) : אני כבר שם אתכם במיוט אני מתחיל להודקה אני משתיק אתכם 
עומר טייכר | מדריך וטכנאי מחשבים: (20:16) : אתם מושתקים 
עומר טייכר | מדריך וטכנאי מחשבים: (20:18) : אוקיי אוקיי אוקיי אני אשים את הספיב בספוטלייט. 
עומר טייכר | מדריך וטכנאי מחשבים: (20:26) : אתם רואים רק אותי עכשיו. יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (20:31) : ניקח עוד, יפה, אני מתחיל. 
עומר טייכר | מדריך וטכנאי מחשבים: (20:36) : מדי פעם 
עומר טייכר | מדריך וטכנאי מחשבים: (20:38) : אני אבקש בצ'אט שאתם תרשמו שהכל עובד לכם כמו שצריך, שאתם שומעים, זה מאוד חשוב לי. 
עומר טייכר | מדריך וטכנאי מחשבים: (20:48) : אז ערב טוב חברים, אני עומר טייחר מראשון לציון. כבר יותר מ-20 שנה אני עוזר לאנשים להתמודד עם מחשבים, אבל הערב אנחנו נצלול לתוך אחד המקומות הכי מציפים. אחי המוסים והכי חשובים במסך שלכם, תיבת המייל. כי זה לא סתם מיילים, זה גם חשבוניות, לקוחות, תאומים, אישורים, ולפעמים גם עונאות שנראות ממש אמיתיות. 
עומר טייכר | מדריך וטכנאי מחשבים: (21:18) : לא מעט אנשים שולחים לי מיילים ושואלים, תגיד זה אמיתי? ללחוץ, להתעלם, וזה בדיוק מה שג'ימל הפך להיות, שדה מוקשים. או 
עומר טייכר | מדריך וטכנאי מחשבים: (21:30) : כלי חכם שמסדר את היום יום. תלוי איך משתמשים בו. 
עומר טייכר | מדריך וטכנאי מחשבים: (21:35) : במהלך השנים שבהם הדרכתי אנשים, הבנתי שמחשבים זו לא רק טכניקה, זה גם להבין מה אפשר לעשות איתם ולמה זה חשוב. אז הערב נעבור על שישה טיפים מפתיעים, כאלה שהרבה אנשים איכן לא מכירים, אבל אחד מהם, האחרון, אולי היה מסקרן מכולם, איך לדעת אם המייל ששלחתם באמת הגיע. לא לנחש, לא להתפלל, לדעת. תשבו בנוח, תפתחו את הראש ותתכוננו לפתוח את איבת ההפתעות של ג'י-מייל. אני אעשה שיתוף מסך. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:14) : סאונד, מה זה? לא צריך סאונד בעצם. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:22) : תכתבו לי שאתם רואים את המסך שלי, זה חשוב. אם ברשתם רואים, תכתבו כן. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:30) : רואים, יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:33) : היית מצגת? 
עומר טייכר | מדריך וטכנאי מחשבים: (22:35) : אז ברוכים הבאים להרצאה מיומנו של טכנאי מחשבים, פרק 4, תיבת ההפתעות. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:46) : והנושא הראשון שאני אדבר עליו נקרא, שניות של חסדו. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:53) : שבת בערב, אני עייף, אבל אני אומר לעצמי, יאללה, אני אשלח את הצעת המחיר לפני שבוע חדש. פותח ג'ימיילו, כותב מהר, לוחץ על שליחה. 
עומר טייכר | מדריך וטכנאי מחשבים: (23:06) : חצי שנייה אחרי זה אני רואה את זה. בטל שליחה, צץ למטה. אני שולח יד לאכבר, וזה נעלם. פספסתי. חמש שניות וזהו. הקובץ שצירפתי היה שגוי, כלומר, שם של לקוח אחר. מחיר לא נכון. נראיתי חובבן. והכי גרוע, ידעתי שאם רק היה לי עוד רגע אחד, יחלתי להציל את זה. אז חפרתי קצת וגיליתי שאפשר להגדיר את הזמן הזה. אפשר לבחור עד 30 שניות. מאז כל מייל שאני שולח יש לי חצי דקה להתחרט. ועכשיו אני שואל אתכם, 
עומר טייכר | מדריך וטכנאי מחשבים: (23:49) : קרה לכם פעם ששלחתם מייל והתחרטתם מיד אחרי זה? 
עומר טייכר | מדריך וטכנאי מחשבים: (23:56) : אולי שלחתם למישהו הלא נכון? שכחתם לצרף קובץ או צירפתם קובץ שגוי או ניסחתם משהו ואז חשבתם אולי לא הייתי צריך לכתוב את זה ככה. עכשיו אני אראה לכם איך עובדים עם זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:26) : יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:27) : רגע פה קפץ לי. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:32) : אז אני נכנס לדפדפן שלי אני אסתיר את זה אני נכנס לדפדפן החרום שלי נכנס לג'ימייל שלי 
עומר טייכר | מדריך וטכנאי מחשבים: (24:45) : ופה אני יכול לראות אני בעצם בניתי טיוטה חדשה טיוטה זה בעצם מייל ששמרתי לשלוח אחרי זה כדי שאני לא אצלח לכתוב את כל המייל מחדש אני יכול לכתוב מייל ולשמור אותו בתוך טיוטה. אז בואו נראה. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:03) : ניקח את המייל טיוטה שעשיתי, ביטול שליחה לפני, 
עומר טייכר | מדריך וטכנאי מחשבים: (25:08) : ותראו מה קורה. אני שולח את המייל, שלום אלון, מצורב וזאת הצעת מחיר, ובטעות, בטעות, 
עומר טייכר | מדריך וטכנאי מחשבים: (25:19) : שמתי הצעת מחיר של אילן, זה יכול לקרות לנו, נכון? אנחנו בעצם, לא הבנתי מה כתבתה, 
עומר טייכר | מדריך וטכנאי מחשבים: (25:26) : בעצם, שני מתחילים באלף אנחנו מחפשים א', אילן, אלון, דומה, צירפנו הצעת מחיר, שלחנו, תסתכלו מה קורה, שימו לב, כשאני שולח, בצד ימין למטה, יש לנו השליחה מתבצעת ויש לנו כפתור שנקרא ביטולו, יפה. מה שקורה עכשיו, יש לנו בעצם חמש שניות להתחרט, הרבה פעמים כשאנחנו שולחים מייל, אנחנו פתאום שמים לב ששלחנו לבן אדם הלא נכון וקורה הרבה פעמים בדיוק אחרי שאנחנו שולחים את המיילו 
עומר טייכר | מדריך וטכנאי מחשבים: (26:01) : ובשביל שנוכל להאריך את הזמן הזה ושיהיה לנו 30 שניות להתחרט, מה שאנחנו עושים אנחנו יכולים להגדיל את הזמן של ביטול השליחה. ואיך אנחנו עושים את זה? זה מאוד מאוד פשוט. 
עומר טייכר | מדריך וטכנאי מחשבים: (26:16) : בצד שמאל למעלה, למי מכם שעובדים בעברית, יש סמל של גלגל שיניים. גלגל השיניים בעצם מאפשר להיכנס להגדרות של ה-Gmail. כשאנחנו לוחצים על גלגל השיניים בעצם ייפתחו לנו ההגדרות המהירות של Gmail. אבל למעלה ייפתחו כל ההגדרות. כשאנחנו רוצים לשנות את הזמן, זמן הביטול, אנחנו נכנסים לדף כל ההגדרות. 
עומר טייכר | מדריך וטכנאי מחשבים: (26:44) : פה בעצם אנחנו יכולים לראות שיש לנו קטגוריה, בעצם שורה שנקראת ביטול שליחה. אתם רואים את זה? כרגע הזמן לביטול שליחה הוא 5 שניות. אנחנו יכולים להעריך את זה עד 30 שניות. אני אעריך את זה ל-30 שניות. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:00) : כל דבר שאני משנה ב-Gmail, אני צריך ללחוץ למטה, גולה למטה ובוחר שמירת השינויים. בוחר את השמירת השינויים, 
